iter	Passed	Remaining
652	12145	6454
653	12164	6435
654	12187	6419
655	12204	6400
656	12226	6383
657	12242	6363
658	12263	6345
659	12281	6326
660	12297	6307
661	12316	6288
662	12333	6269
663	12351	6250
664	12368	6230
665	12386	6211
666	12403	6192
667	12421	6173
668	12438	6154
669	12456	6135
670	12474	6116
671	12492	6097
672	12509	6078
673	12525	6058
674	12542	6039
675	12560	6020
676	12579	6001
677	12597	5982
678	12616	5964
679	12635	5946
680	12655	5928
681	12675	5910
682	12693	5891
683	12711	5872
684	12729	5853
685	12751	5836
686	12771	5818
687	12792	5801
688	12812	5783
689	12831	5764
690	12849	5745
691	12867	5727
692	12886	5708
693	12904	5689
694	12921	5670
695	12939	5651
696	12957	5632
697	12975	5614
698	12993	5594
699	13009	5575
700	13027	5556
701	13045	5537
702	13063	5518
703	13081	5500
704	13098	5481
705	13116	5461
706	13134	5443
707	13153	5424
708	13171	5405
709	13189	5387
710	13207	5368
711	13225	5349
712	13243	5330
713	13262	5312
714	13281	5294
715	13300	5275
716	13317	5256
717	13336	5237
718	13354	5219
719	13373	5200
720	13391	5181
721	13409	5163
722	13427	5144
723	13444	5125
724	13461	5106
725	13479	5087
726	13498	5068
727	13515	5049
728	13535	5031
729	13552	5012
730	13570	4993
731	13587	4974
732	13605	4956
733	13624	4937
734	13643	4919
735	13661	4900
736	13679	4881
737	13696	4862
738	13714	4843
739	13732	4825
740	13752	4806
741	13770	4788
742	13789	4769
743	13806	4750
744	13825	4732
745	13843	4713
746	13860	4694
747	13877	4675
748	13895	4656
749	13913	4637
750	13931	4619
751	13948	4600
752	13967	4581
753	13985	4562
754	14010	4546
755	14033	4529
756	14060	4513
757	14085	4496
758	14106	4479
759	14129	4462
760	14148	4443
761	14176	4427
762	14208	4413
763	14234	4397
764	14260	4380
765	14288	4364
766	14307	4346
767	14329	4328
768	14350	4310
769	14368	4292
770	14386	4273
771	14404	4254
772	14423	4235
773	14440	4216
774	14459	4197
775	14476	4178
776	14495	4160
777	14513	4141
778	14531	4122
779	14548	4103
780	14566	4084
781	14584	4065
782	14603	4047
783	14621	4028
784	14639	4009
785	14656	3990
786	14674	3971
787	14691	3952
788	14708	3933
789	14727	3914
790	14745	3896
791	14762	3877
792	14781	3858
793	14801	3840
794	14820	3821
795	14836	3802
796	14854	3783
797	14871	3764
798	14889	3745
799	14907	3726
800	14925	3708
801	14942	3689
802	14960	3670
803	14978	3651
804	14996	3632
805	15013	3613
806	15032	3595
807	15049	3576
808	15066	3557
809	15084	3538
810	15102	3519
811	15120	3500
812	15139	3482
813	15156	3463
814	15174	3444
815	15192	3425
816	15210	3406
817	15228	3388
818	15247	3369
819	15267	3351
820	15285	3332
821	15303	3313
822	15320	3294
823	15338	3276
824	15356	3257
825	15374	3238
826	15391	3219
827	15409	3201
828	15427	3182
829	15446	3163
830	15464	3144
831	15481	3126
832	15499	3107
833	15517	3088
834	15535	3069
835	15553	3051
836	15570	3032
837	15589	3013
838	15608	2995
839	15626	2976
840	15644	2957
841	15662	2938
842	15679	2920
843	15696	2901
844	15713	2882
845	15732	2863
846	15749	2844
847	15767	2826
848	15786	2807
849	15805	2789
850	15823	2770
851	15841	2751
852	15858	2732
853	15876	2714
854	15893	2695
855	15910	2676
856	15928	2657
857	15954	2640
858	15977	2622
859	15998	2604
860	16020	2586
861	16038	2567
862	16062	2549
863	16079	2531
864	16097	2512
865	16115	2493
866	16132	2474
867	16152	2456
868	16169	2437
869	16186	2418
870	16204	2399
871	16223	2381
872	16240	2362
873	16257	2343
874	16275	2325
875	16292	2306
876	16310	2287
877	16328	2268
878	16345	2250
879	16364	2231
880	16382	2212
881	16400	2194
882	16418	2175
883	16436	2156
884	16453	2138
885	16471	2119
886	16489	2100
887	16506	2081
888	16523	2063
889	16542	2044
890	16559	2025
891	16577	2007
892	16596	1988
893	16614	1969
894	16633	1951
895	16650	1932
896	16667	1913
897	16686	1895
898	16705	1876
899	16726	1858
900	16745	1839
901	16765	1821
902	16784	1802
903	16802	1784
904	16819	1765
905	16837	1746
906	16857	1728
907	16874	1709
908	16892	1691
909	16910	1672
910	16929	1653
911	16946	1635
912	16966	1616
913	16984	1598
914	17002	1579
915	17021	1560
916	17039	1542
917	17056	1523
918	17075	1505
919	17093	1486
920	17111	1467
921	17130	1449
922	17148	1430
923	17166	1411
924	17184	1393
925	17203	1374
926	17222	1356
927	17241	1337
928	17258	1319
929	17277	1300
930	17294	1281
931	17311	1263
932	17329	1244
933	17346	1225
934	17364	1207
935	17381	1188
936	17399	1169
937	17417	1151
938	17435	1132
939	17453	1114
940	17472	1095
941	17490	1076
942	17507	1058
943	17525	1039
944	17543	1021
945	17561	1002
946	17578	983
947	17595	965
948	17612	946
949	17631	927
950	17648	909
951	17666	890
952	17683	872
953	17699	853
954	17717	834
955	17736	816
956	17754	797
957	17773	779
958	17791	760
959	17810	742
960	17830	723
961	17847	704
962	17865	686
963	17882	667
964	17901	649
965	17918	630
966	17937	612
967	17954	593
968	17970	574
969	17988	556
970	18007	537
971	18026	519
972	18049	500
973	18070	482
974	18088	463
975	18111	445
976	18131	426
977	18153	408
978	18169	389
979	18201	371
980	18219	352
981	18237	334
982	18254	315
983	18272	297
984	18289	278
985	18307	259
986	18324	241
987	18343	222
988	18361	204
989	18378	185
990	18396	167
991	18413	148
992	18430	129
993	18449	111
994	18465	92
995	18482	74
996	18501	55
997	18517	37
998	18537	18
999	18554	0
